date,Postcode,Type,Id,Price,No.Of Sales
1/6/2022,4064,Units,10,700000,95
1/7/2022,4064,Units,10,700000,89
1/8/2022,4064,Units,10,700000,87
1/9/2022,4064,Units,10,637500,82
1/10/2022,4064,Units,10,642500,80
1/11/2022,4064,Units,10,630000,73
1/12/2022,4064,Units,10,687500,74
1/1/2023,4064,Units,10,650000,67
1/2/2023,4064,Units,10,630000,67
1/3/2023,4064,Units,10,596749,64
1/4/2023,4064,Units,10,610000,62
1/5/2023,4064,Units,10,625000,62
1/6/2023,4064,Units,10,635000,60
1/7/2023,4064,Units,10,650000,62
1/8/2023,4064,Units,10,650000,69
1/9/2023,4064,Units,10,650000,67
1/10/2023,4064,Units,10,672500,68
1/11/2023,4064,Units,10,670000,69
1/12/2023,4064,Units,10,672500,70
1/1/2024,4064,Units,10,672500,63
1/2/2024,4064,Units,10,672500,63
1/3/2019,4064,Units,11,460000,62
1/4/2019,4064,Units,11,445000,59
1/5/2019,4064,Units,11,510000,56
1/6/2019,4064,Units,11,505000,43
1/7/2019,4064,Units,11,500000,45
1/8/2019,4064,Units,11,449500,48
1/9/2019,4064,Units,11,449500,46
1/10/2019,4064,Units,11,450000,45
1/11/2019,4064,Units,11,470000,42
1/12/2019,4064,Units,11,488500,42
1/1/2020,4064,Units,11,478000,45
1/2/2020,4064,Units,11,481500,44
1/3/2020,4064,Units,11,485000,45
1/4/2020,4064,Units,11,492000,41
1/5/2020,4064,Units,11,489500,38
1/6/2020,4064,Units,11,486000,36
1/7/2020,4064,Units,11,486000,34
1/8/2020,4064,Units,11,487000,33
1/9/2020,4064,Units,11,489000,38
1/10/2020,4064,Units,11,489000,44
1/11/2020,4064,Units,11,530000,51
1/12/2020,4064,Units,11,533000,58
1/1/2021,4064,Units,11,554500,60
1/2/2021,4064,Units,11,547500,70
1/3/2021,4064,Units,11,542500,80
1/4/2021,4064,Units,11,542500,82
1/5/2021,4064,Units,11,542500,88
1/6/2021,4064,Units,11,535000,95
1/7/2021,4064,Units,11,535000,103
1/8/2021,4064,Units,11,537500,106
1/9/2021,4064,Units,11,535000,108
1/10/2021,4064,Units,11,530000,107
1/11/2021,4064,Units,11,530000,109
1/12/2021,4064,Units,11,513750,108
1/1/2022,4064,Units,11,492500,104
1/2/2022,4064,Units,11,469000,95
1/3/2022,4064,Units,11,453750,994
1/4/2022,4064,Units,11,463750,98
1/5/2022,4064,Units,11,455000,94
1/6/2022,4064,Units,11,480000,95
1/7/2022,4064,Units,11,480000,91
1/8/2022,4064,Units,11,445000,94
1/9/2022,4064,Units,11,440000,96
1/10/2022,4064,Units,11,454000,98
1/11/2022,4064,Units,11,435000,91
1/12/2022,4064,Units,11,468000,89
1/1/2023,4064,Units,11,477500,98
1/2/2023,4064,Units,11,512500,102
1/3/2023,4064,Units,11,528000,101
1/4/2023,4064,Units,11,500000,101
1/5/2023,4064,Units,11,488500,112
1/6/2023,4064,Units,11,443750,118
1/7/2023,4064,Units,11,450000,125
1/8/2023,4064,Units,11,458000,125
1/9/2023,4064,Units,11,454000,130
1/10/2023,4064,Units,11,480000,129
1/11/2023,4064,Units,11,480000,129
1/12/2023,4064,Units,11,479500,126
1/1/2024,4064,Units,11,479000,117
1/2/2024,4064,Units,11,450000,107
1/3/2019,4101,Units,12,580000,694
1/4/2019,4101,Units,12,580000,702
1/5/2019,4101,Units,12,566100,651
1/6/2019,4101,Units,12,555000,543
1/7/2019,4101,Units,12,549250,522
1/8/2019,4101,Units,12,544000,492
1/9/2019,4101,Units,12,520000,468
1/10/2019,4101,Units,12,508250,450
1/11/2019,4101,Units,12,517800,429
1/12/2019,4101,Units,12,522300,424
1/1/2020,4101,Units,12,525000,425
1/2/2020,4101,Units,12,525000,429
1/3/2020,4101,Units,12,527300,427
1/4/2020,4101,Units,12,515000,401
1/5/2020,4101,Units,12,520000,379
1/6/2020,4101,Units,12,509000,367
1/7/2020,4101,Units,12,508300,344
1/8/2020,4101,Units,12,507500,326
1/9/2020,4101,Units,12,508000,327
1/10/2020,4101,Units,12,507000,327
1/11/2020,4101,Units,12,492300,312
1/12/2020,4101,Units,12,491300,314
1/1/2021,4101,Units,12,491000,307
1/2/2021,4101,Units,12,490000,299
1/3/2021,4101,Units,12,494500,296
1/4/2021,4101,Units,12,498250,326
1/5/2021,4101,Units,12,510000,358
1/6/2021,4101,Units,12,521000,399
1/7/2021,4101,Units,12,520500,432
1/8/2021,4101,Units,12,527500,486
1/9/2021,4101,Units,12,530000,528
1/10/2021,4101,Units,12,530500,564
